gender,hsc_p,degree_p,degree_t,etest_p,specialisation,mba_p,salary
M,0.21698314486878606,0.4571428571428572,Comm&Mgmt,0.4583333333333333,Mkt&Fin,61.01,0.08648648648648649
M,0.22551738852144232,0.2514285714285714,Comm&Mgmt,0.9041666666666668,Mkt&Fin,57.34,0.0945945945945946
F,0.25965436313206747,0.0,Others,0.625,Mkt&HR,56.63,0.13513513513513514
M,0.5370172818433967,0.4571428571428572,Comm&Mgmt,0.7083333333333333,Mkt&HR,58.95,0.10135135135135136
M,0.25965436313206747,0.6142857142857143,Sci&Tech,0.5833333333333333,Mkt&Fin,54.48,0.06756756756756757
F,0.046298271815660375,1.0,Sci&Tech,0.19416666666666665,Mkt&HR,69.71,0.08108108108108109
M,0.3023255813953489,0.02857142857142858,Comm&Mgmt,0.47916666666666663,Mkt&HR,55.8,0.08783783783783786
M,0.19564753573714533,0.2571428571428572,Comm&Mgmt,0.7822916666666666,Mkt&Fin,52.81,0.13513513513513514
M,0.25965436313206747,0.28571428571428575,Sci&Tech,0.23500000000000001,Mkt&HR,60.11,0.05405405405405406
M,0.22402389588222746,0.0248571428571428,Comm&Mgmt,0.33333333333333337,Mkt&HR,58.3,0.08108108108108109
F,0.47301045444847456,0.48571428571428577,Comm&Mgmt,0.625,Mkt&Fin,67.69,0.013513513513513514
M,0.23831875400042676,0.2571428571428572,Comm&Mgmt,0.25,Mkt&Fin,56.81,0.06756756756756757
M,0.579688500106678,0.14285714285714285,Comm&Mgmt,0.8033333333333333,Mkt&Fin,71.55,0.13513513513513514
M,0.4516748453168339,0.2571428571428572,Comm&Mgmt,0.35416666666666663,Mkt&Fin,56.49,0.021621621621621637
M,0.665030936633241,0.617142857142857,Comm&Mgmt,0.8541666666666666,Mkt&Fin,74.49,0.2702702702702703
M,0.19564753573714533,0.4571428571428572,Sci&Tech,0.5,Mkt&Fin,53.62,0.10135135135135136
M,0.3449967996586303,0.48571428571428577,Comm&Mgmt,0.1875,Mkt&Fin,69.72,0.1283783783783784
F,0.3236611905269896,0.05714285714285716,Comm&Mgmt,0.41666666666666663,Mkt&HR,60.23,0.00540540540540542
